"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxids","Range"
"Bat_coronavirus","Bat_coronavirus",100,1258,0,0,21578,25351,12,1269,0,2545,22,1257
"Bat_coronavirus","SARS_CoV2_Wuhan-Hu",97.385,1262,29,1,21578,25351,12,1273,0,2481,55,1261
"Bat_coronavirus","SARS-CoV-2_iso1",96.989,1262,34,1,21578,25351,12,1273,0,2467,44,1261
"Bat_coronavirus","Pangolin_coronavirus",89.746,1258,124,3,21578,25351,13,1265,0,2293,33,1252
"Bat_coronavirus","SARS_CoV1_AS",77.689,1246,258,6,21620,25351,28,1255,0,1988,66,1227
"Bat_coronavirus","SARS_CoV1_E2",77.608,1246,259,6,21620,25351,28,1255,0,1988,77,1227
"Bat_coronavirus","Camel_MERS-CoV",34.702,1023,587,25,22331,25219,311,1312,1.82e-159,527,11,1001
"Bat_coronavirus","MERS_Betacoronavirus_England_1",34.638,1022,589,25,22331,25219,311,1312,7.7e-159,525,99,1001
"Bat_coronavirus","MERS_Betacoronavirus_England_1",24.176,91,50,3,16822,17049,78,164,7.9,23.9,99,86
"Bat_coronavirus","MERS_coronavirus",34.506,1023,589,25,22331,25219,311,1312,1.91e-158,524,88,1001
"Bat_coronavirus","MERS_coronavirus",24.176,91,50,3,16822,17049,78,164,7.9,23.9,88,86
"Camel_MERS-CoV","Camel_MERS-CoV",100,1353,0,0,21431,25489,1,1353,0,2802,11,1352
"Camel_MERS-CoV","Camel_MERS-CoV",27.5,40,29,0,5072,5191,1124,1163,6.5,24.3,11,39
"Camel_MERS-CoV","MERS_coronavirus",99.187,1353,11,0,21431,25489,1,1353,0,2777,88,1352
"Camel_MERS-CoV","MERS_coronavirus",27.5,40,29,0,5072,5191,1124,1163,6,24.3,88,39
"Camel_MERS-CoV","MERS_Betacoronavirus_England_1",99.039,1353,13,0,21431,25489,1,1353,0,2774,99,1352
"Camel_MERS-CoV","MERS_Betacoronavirus_England_1",27.5,40,29,0,5072,5191,1124,1163,6.2,24.3,99,39
